&a 	I1
0.604	6.8
0.599	7.2
0.594	7.2
0.588	7.6
0.583	8.0
0.578	8.2
0.572	8.6
0.567	9.0
0.561	9.6
0.556	10.0
0.551	10.8
0.545	11.6
0.540	12.4
0.535	13.2
0.529	14.4
0.524	15.5
0.519	16.7
0.513	17.9
0.508	19.4
0.503	20.9
0.497	22.2
0.492	24.0
0.487	25.7
0.481	28.1
0.476	30.5
0.471	33.3
0.465	35.8
0.460	38.1
0.455	40.3
0.449	42.6
0.444	44.3
0.438	46.0
0.433	47.2
0.428	48.5
0.422	49.6
0.417	50.8
0.412	51.5
0.406	52.0
0.401	52.3
0.396	52.3
0.390	52.2
0.385	51.9
0.380	51.3
0.374	50.6
0.369	49.7
0.364	48.6
0.358	47.3
0.353	45.8
0.348	44.5
0.342	43.1
0.337	42.0
0.332	40.5
0.326	39.1
0.321	37.6
0.316	36.0
0.310	34.4
0.305	33.0
0.299	31.4
0.294	30.1
0.289	28.7
0.283	27.5
0.278	26.2
0.273	24.9
0.267	23.7
0.262	22.8
0.257	21.9
0.251	21.1
0.246	20.3
0.241	19.6
0.235	19.0
0.230	18.4
0.225	17.6
0.219	17.2
0.214	16.8
0.209	16.2
0.203	15.8
0.198	15.3
0.193	14.9
0.187	14.7
0.182	14.3
0.176	14.0
0.171	13.6
0.166	13.4
0.160	13.1
0.155	12.8
0.150	12.7
0.144	12.5
0.139	12.4
0.134	12.2
0.128	12.0
0.123	11.9
0.118	11.7
0.112	11.6
0.107	11.6
0.102	11.6
0.096	11.3
0.091	11.2
0.086	10.9
0.080	10.8
0.075	10.8
0.070	10.8
0.064	10.8
0.059	10.8
0.053	10.8
0.048	10.8
0.043	10.8
0.037	10.8
0.032	10.8
0.027	10.7
0.021	10.7
0.016	10.7
0.011	10.7
0.005	10.7
0.000	10.8
-0.005	10.8
-0.011	10.8
-0.016	10.8
-0.021	10.8
-0.027	10.8
-0.032	10.9
-0.037	11.1
-0.043	11.2
-0.048	11.2
-0.053	11.2
-0.059	11.4
-0.064	11.6
-0.070	11.7
-0.075	11.8
-0.080	12.0
-0.086	12.0
-0.091	12.3
-0.096	12.4
-0.102	12.4
-0.107	12.5
-0.112	12.7
-0.118	12.6
-0.123	13.0
-0.128	13.2
-0.134	13.7
-0.139	14.1
-0.144	14.5
-0.150	14.9
-0.155	15.3
-0.160	15.6
-0.166	16.0
-0.171	16.4
-0.176	16.8
-0.182	17.2
-0.187	18.0
-0.193	18.4
-0.198	19.1
-0.203	19.6
-0.209	20.4
-0.214	21.2
-0.219	22.1
-0.225	23.1
