&a / 	I1 /
1.593	39.7
1.588	39.5
1.582	38.2
1.577	35.8
1.572	32.6
1.566	29.5
1.561	27.0
1.556	25.7
1.550	25.0
1.545	25.2
1.540	26.3
1.534	27.0
1.529	28.0
1.524	28.2
1.518	27.8
1.513	26.7
1.508	25.1
1.502	23.0
1.497	20.6
1.492	18.2
1.486	16.0
1.481	14.4
1.476	13.2
1.470	12.8
1.465	12.8
1.460	13.2
1.454	14.0
1.449	15.2
1.444	16.7
1.438	18.4
1.433	20.2
1.428	22.0
1.422	23.6
1.417	25.0
1.411	26.6
1.406	27.7
1.401	28.3
1.395	28.2
1.390	27.4
1.385	26.2
1.379	25.4
1.374	25.1
1.369	25.4
1.363	26.2
1.358	27.7
1.353	29.8
1.347	32.7
1.342	35.6
1.337	38.4
1.331	40.2
1.326	41.3
1.321	41.3
1.315	40.5
1.310	38.2
1.305	35.3
1.299	32.1
1.294	29.3
1.289	26.9
1.283	25.3
1.278	24.5
1.273	24.4
1.267	24.8
1.262	25.6
1.256	26.4
1.251	27.2
1.246	27.9
1.240	28.3
1.235	28.3
1.230	28.0
1.224	27.3
1.219	25.8
1.214	24.0
1.208	21.8
1.203	19.7
1.198	17.7
1.192	16.1
1.187	14.7
1.182	13.8
1.176	13.0
1.171	12.6
1.166	12.5
1.160	12.4
1.155	12.6
1.150	13.0
1.144	14.2
1.139	15.7
1.134	17.5
1.128	19.1
1.123	20.4
1.118	21.7
1.112	22.6
1.107	24.1
1.101	25.2
1.096	26.5
1.091	27.6
1.085	28.4
1.080	28.7
1.075	28.5
1.069	27.8
1.064	26.6
1.059	25.5
1.053	24.7
1.048	24.0
1.043	23.7
1.037	24.1
1.032	25.0
1.027	26.6
1.021	28.7
1.016	31.4
1.011	34.3
1.005	37.3
1.000	39.9
0.995	42.3
0.989	43.8
0.984	44.8
0.979	45.0
0.973	44.7
0.968	43.5
0.962	41.7
0.957	39.2
0.952	36.2
0.946	33.0
0.941	30.1
0.936	28.0
0.930	26.5
0.925	25.7
0.920	24.9
0.914	23.9
0.909	22.6
0.904	21.2
0.898	20.0
0.893	19.7
0.888	20.1
0.882	21.4
0.877	23.6
0.872	26.3
0.866	28.5
0.861	30.4
0.856	31.2
0.850	31.2
0.845	30.8
0.840	29.6
0.834	28.4
0.829	26.9
0.823	25.3
0.818	23.7
0.813	21.8
0.807	20.0
0.802	18.4
0.797	17.0
0.791	15.9
0.786	15.0
0.781	14.2
0.775	13.7
0.770	13.3
0.765	12.9
0.759	12.5
0.754	12.5
0.749	12.4
0.743	12.4
0.738	12.5
0.733	12.8
0.727	13.1
0.722	13.6
0.717	14.1
0.711	14.9
0.706	15.7
0.701	16.6
0.695	17.6
0.690	18.7
0.684	19.8
0.679	21.0
0.674	22.1
0.668	23.2
0.663	24.2
0.658	25.4
0.652	26.2
0.647	27.0
0.642	27.7
0.636	28.5
0.631	29.1
0.626	29.7
0.620	30.1
0.615	30.1
0.610	29.9
0.604	29.5
0.599	29.1
0.594	28.3
0.588	27.6
0.583	26.5
0.578	25.7
0.572	24.8
0.567	24.1
0.561	23.7
0.556	23.3
0.551	23.2
0.545	22.9
0.540	22.8
0.535	22.7
0.529	22.8
0.524	22.9
0.519	23.2
0.513	23.4
0.508	24.1
0.503	24.8
0.497	25.2
0.492	26.1
0.487	26.9
0.481	28.5
0.476	30.0
0.471	31.7
0.465	33.5
0.460	35.0
0.455	36.6
0.449	38.1
0.444	39.3
0.438	40.5
0.433	41.5
0.428	42.4
0.422	43.1
0.417	44.0
0.412	44.6
0.406	45.1
0.401	45.4
0.396	45.5
0.390	45.5
0.385	45.4
0.380	45.1
0.374	44.5
0.369	43.9
0.364	43.0
0.358	42.1
0.353	41.0
0.348	40.1
0.342	39.2
0.337	38.3
0.332	37.3
0.326	36.4
0.321	35.2
0.316	34.1
0.310	33.0
0.305	32.0
0.299	31.0
0.294	30.1
0.289	29.2
0.283	28.3
0.278	27.5
0.273	26.7
0.267	26.0
0.262	25.5
0.257	25.0
0.251	24.6
0.246	24.3
0.241	24.0
0.235	23.7
0.230	23.5
0.225	23.3
0.219	23.1
0.214	23.0
0.209	22.8
0.203	22.8
0.198	22.7
0.193	22.7
0.187	22.8
0.182	22.7
0.176	22.8
0.171	22.7
0.166	22.7
0.160	22.7
0.155	22.7
0.150	22.7
0.144	22.7
0.139	22.8
0.134	22.8
0.128	22.8
0.123	22.9
0.118	22.9
0.112	23.0
0.107	23.0
0.102	23.1
0.096	23.1
0.091	23.1
0.086	23.2
0.080	23.2
0.075	23.3
0.070	23.3
0.064	23.3
0.059	23.3
0.053	23.3
0.048	23.3
0.043	23.3
0.037	23.4
0.032	23.4
0.027	23.4
0.021	23.4
0.016	23.5
0.011	23.5
0.005	23.6
0.000	23.8
-0.005	23.8
-0.011	23.6
-0.016	23.7
-0.021	23.7
-0.027	23.7
-0.032	23.8
-0.037	23.8
-0.043	23.8
-0.048	23.8
-0.053	23.7
-0.059	23.7
-0.064	23.7
-0.070	23.7
-0.075	23.6
-0.080	23.6
-0.086	23.6
-0.091	23.5
-0.096	23.5
-0.102	23.2
-0.107	22.8
-0.112	22.6
-0.118	22.2
-0.123	22.6
-0.128	22.7
-0.134	23.0
-0.139	23.1
-0.144	23.1
-0.150	23.1
-0.155	23.1
-0.160	23.1
-0.166	23.1
-0.171	23.1
-0.176	23.2
-0.182	23.3
-0.187	23.4
-0.193	23.4
-0.198	23.5
-0.203	23.6
-0.209	23.9
-0.214	24.3
-0.219	24.8
-0.225	25.2
-0.230	25.6
-0.235	26.0
-0.241	26.4
-0.246	26.8
-0.251	27.5
-0.257	28.2
-0.262	29.0
-0.267	29.5
-0.273	30.2
-0.278	30.7
-0.283	31.4
-0.289	32.5
-0.294	33.9
-0.299	35.3
-0.305	36.2
-0.310	37.4
-0.316	38.5
-0.321	39.6
-0.326	40.6
-0.332	41.6
-0.337	42.6
-0.342	43.4
-0.348	44.2
-0.353	44.5
-0.358	44.8
-0.364	45.0
-0.369	45.0
-0.374	45.1
-0.380	45.1
-0.385	45.0
-0.390	44.5
-0.396	43.9
-0.401	43.3
-0.406	42.6
-0.412	41.8
-0.417	40.6
-0.422	39.4
-0.428	38.1
