I_A1 / A	B_B1 / mT
4.95	-321
5.27	-339
5.48	-351
5.64	-358
5.53	-353
5.57	-355
5.57	-355
5.57	-354
5.57	-355
5.57	-355
5.57	-355
5.58	-355
5.58	-355
5.59	-355
5.58	-355
5.84	-367
5.92	-371
6.01	-374
6.02	-375
6.05	-376
6.03	-375
6.03	-375
6.04	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.03	-375
6.26	-385
6.50	-393
6.44	-391
6.43	-391
6.45	-391
6.45	-391
6.44	-391
6.44	-391
6.44	-391
6.44	-391
6.44	-391
6.44	-391
6.45	-391
6.45	-391
6.45	-391
6.45	-391
6.45	-391
6.49	-392
6.79	-402
6.76	-402
6.75	-401
6.75	-401
6.76	-402
6.76	-401
6.76	-402
6.76	-401
6.76	-401
6.76	-401
6.76	-401
6.76	-401
6.76	-402
6.84	-404
7.02	-410
7.16	-414
7.22	-416
7.22	-416
7.22	-415
7.22	-415
7.22	-415
7.22	-415
7.22	-416
7.22	-415
7.22	-415
7.22	-415
7.22	-415
7.22	-416
7.22	-415
7.22	-416
7.22	-416
7.22	-416
7.22	-416
7.32	-418
7.42	-421
7.54	-424
7.54	-424
7.56	-424
7.55	-424
7.55	-424
7.55	-424
7.55	-424
7.55	-425
7.55	-424
7.56	-424
7.55	-424
7.55	-424
7.55	-424
7.56	-424
7.56	-425
7.56	-424
7.81	-431
8.43	-445
8.49	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.52	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.51	-447
8.60	-449
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-449
8.66	-450
8.66	-450
8.67	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
8.67	-450
8.66	-450
8.66	-450
8.66	-450
8.67	-450
8.67	-450
8.66	-450
8.66	-450
8.66	-450
8.66	-450
