&a / 	I1 /
2.613	27.6
2.608	24.8
2.602	21.7
2.597	19.0
2.592	16.5
2.586	14.5
2.581	12.8
2.576	11.9
2.570	11.1
2.565	10.9
2.560	11.0
2.554	12.0
2.549	13.9
2.544	16.5
2.538	19.1
2.533	21.4
2.528	23.3
2.522	25.7
2.517	28.7
2.512	32.3
2.506	35.1
2.501	36.6
2.496	36.9
2.490	36.6
2.485	36.5
2.480	36.5
2.474	35.8
2.469	34.2
2.464	32.0
2.458	29.5
2.453	26.6
2.448	23.8
2.442	20.8
2.437	18.2
2.432	15.8
2.426	13.9
2.421	12.4
2.416	11.5
2.410	11.0
2.405	10.8
2.400	10.8
2.394	11.9
2.389	13.4
2.384	15.7
2.378	18.2
2.373	20.7
2.368	22.6
2.362	24.7
2.357	27.2
2.352	30.4
2.346	33.7
2.341	36.2
2.336	37.4
2.330	37.7
2.325	37.5
2.320	37.4
2.314	37.2
2.309	36.5
2.304	34.9
2.298	32.7
2.293	30.4
2.288	27.9
2.282	25.3
2.277	22.5
2.272	19.8
2.266	17.4
2.261	15.2
2.256	13.5
2.250	12.3
2.245	11.4
2.240	10.7
2.234	10.5
2.229	10.6
2.223	11.0
2.218	12.1
2.213	14.0
2.207	16.3
2.202	18.9
2.197	21.3
2.191	22.9
2.186	24.5
2.181	26.3
2.175	28.4
2.170	30.7
2.165	32.5
2.159	34.1
2.154	35.0
2.149	35.6
2.143	36.0
2.138	36.5
2.133	36.8
2.127	36.5
2.122	35.4
2.117	33.7
2.111	31.5
2.106	29.1
2.101	26.4
2.095	23.6
2.090	20.8
2.085	18.3
2.079	15.9
2.074	14.1
2.069	12.6
2.063	11.7
2.058	10.9
2.053	10.4
2.047	10.3
2.042	10.6
2.037	10.9
2.031	11.8
2.026	13.4
2.021	15.4
2.015	17.9
2.010	20.3
2.005	22.5
1.999	24.4
1.994	26.4
1.989	28.6
1.983	31.4
1.978	34.2
1.972	36.7
1.967	38.4
1.962	39.2
1.956	39.2
1.951	38.9
1.946	38.6
1.940	38.4
1.935	38.1
1.930	37.4
1.924	36.1
1.919	34.3
1.914	32.2
1.908	30.0
1.903	27.5
1.898	25.0
1.892	22.2
1.887	19.7
1.882	17.3
1.876	15.2
1.871	13.6
1.866	12.4
1.860	11.5
1.855	10.7
1.850	10.3
1.844	10.2
1.839	10.2
1.834	10.4
1.828	10.9
1.823	11.7
1.818	13.2
1.812	15.1
1.807	17.3
1.802	19.6
1.796	21.8
1.791	23.7
1.786	25.6
1.780	27.5
1.775	29.5
1.769	31.9
1.764	34.6
1.759	37.1
1.753	39.0
1.748	40.2
1.743	40.6
1.737	40.5
1.732	40.2
1.727	39.8
1.721	39.6
1.716	39.2
1.711	38.6
1.705	37.5
1.700	36.1
1.695	34.4
1.689	32.4
1.684	30.4
1.679	28.1
1.673	25.7
1.668	23.1
1.663	20.6
1.657	18.3
1.652	16.3
1.647	14.7
1.641	13.2
1.636	12.2
1.631	11.4
1.625	10.8
1.620	10.4
1.615	10.3
1.609	10.2
1.604	10.3
1.599	10.6
1.593	10.9
1.588	11.6
1.582	12.7
1.577	14.1
1.572	15.7
1.566	17.6
1.561	19.6
1.556	21.6
1.550	23.7
1.545	25.7
1.540	27.6
1.534	29.4
1.529	31.4
1.524	33.5
1.518	35.9
1.513	38.0
1.508	39.7
1.502	41.0
1.497	41.6
1.492	41.8
1.486	41.6
1.481	41.3
1.476	40.9
1.470	40.5
1.465	40.2
1.460	39.7
1.454	38.9
1.449	37.9
1.444	36.7
1.438	35.2
1.433	33.6
1.428	31.8
1.422	29.9
1.417	27.6
1.411	25.4
1.406	23.1
1.401	20.8
1.395	18.8
1.390	17.1
1.385	15.5
1.379	14.1
1.374	13.1
1.369	11.7
1.363	11.3
1.358	10.9
1.353	10.5
1.347	10.3
1.342	10.2
1.337	10.2
1.331	10.2
1.326	10.4
1.321	10.7
1.315	11.1
1.310	11.8
1.305	12.6
1.299	13.8
1.294	15.4
1.289	17.0
1.283	19.0
1.278	20.9
1.273	22.6
1.267	24.3
1.262	25.9
1.256	27.4
1.251	28.7
1.246	30.0
1.240	31.4
1.235	33.0
1.230	34.8
1.224	36.7
1.219	38.5
1.214	40.1
1.208	41.4
1.203	42.4
1.198	42.9
1.192	43.2
1.187	43.2
1.182	43.0
1.176	42.6
1.171	42.2
1.166	41.8
1.160	41.4
1.155	41.0
1.150	40.6
1.144	40.0
1.139	39.3
1.134	38.3
1.128	37.2
1.123	35.9
1.118	34.4
1.112	32.9
1.107	31.4
1.101	29.7
1.096	27.7
1.091	25.8
1.085	23.8
1.080	21.9
1.075	20.2
1.069	18.7
1.064	17.4
1.059	16.2
1.053	15.1
1.048	14.2
1.043	13.4
1.037	12.7
1.032	12.1
1.027	11.3
1.021	11.0
1.016	10.7
1.011	10.4
1.005	10.3
1.000	10.2
0.995	10.2
0.989	10.2
0.984	10.2
0.979	10.2
0.973	10.4
0.968	10.6
0.962	10.8
0.957	11.1
0.952	11.6
0.946	12.2
0.941	13.1
0.936	14.0
0.930	15.1
0.925	16.3
0.920	17.6
0.914	19.1
0.909	20.7
0.904	22.1
0.898	23.4
0.893	24.6
0.888	25.9
0.882	27.1
0.877	28.1
0.872	28.9
0.866	29.7
0.861	30.5
0.856	31.2
0.850	31.8
0.845	32.8
0.840	33.9
0.834	35.1
0.829	36.4
0.823	37.9
0.818	39.5
0.813	40.9
0.807	42.1
0.802	43.0
0.797	43.7
0.791	44.2
0.786	44.5
0.781	44.5
0.775	44.5
0.770	44.4
0.765	44.2
0.759	43.9
0.754	43.5
0.749	42.7
0.743	42.0
0.738	41.4
0.733	40.9
0.727	40.5
0.722	40.3
0.717	40.2
0.711	40.3
0.706	40.3
0.701	40.3
0.695	40.2
0.690	39.8
0.684	39.4
0.679	38.7
0.674	38.1
0.668	37.4
0.663	36.5
0.658	35.6
0.652	34.7
0.647	33.8
0.642	32.7
0.636	31.7
0.631	30.5
0.626	29.2
0.620	27.9
0.615	26.6
0.610	25.6
0.604	24.6
0.599	23.6
0.594	22.7
0.588	21.8
0.583	21.0
0.578	20.2
0.572	19.3
0.567	18.5
0.561	17.8
0.556	17.1
0.551	16.6
0.545	16.1
0.540	15.5
0.535	15.1
0.529	14.6
0.524	14.2
0.519	13.6
0.513	13.2
0.508	12.9
0.503	12.6
0.497	12.4
0.492	12.2
0.487	11.9
0.481	11.9
0.476	11.7
0.471	11.4
0.465	11.2
0.460	11.1
0.455	11.1
0.449	10.9
0.444	10.6
0.438	10.5
0.433	10.4
0.428	10.4
0.422	10.4
0.417	10.4
0.412	10.4
0.406	10.4
0.401	10.4
0.396	10.4
0.390	10.4
0.385	10.5
0.380	10.5
0.374	10.6
0.369	10.6
0.364	10.6
0.358	10.6
0.353	10.7
0.348	10.7
0.342	11.0
0.337	11.0
0.332	11.0
0.326	11.0
0.321	11.1
0.316	11.1
0.310	11.2
0.305	11.3
0.299	11.6
0.294	11.8
0.289	11.9
0.283	12.0
0.278	12.2
0.273	12.3
0.267	12.5
0.262	12.6
0.257	12.8
0.251	12.9
0.246	13.2
0.241	13.4
0.235	13.6
0.230	13.8
0.225	14.1
0.219	14.3
0.214	14.6
0.209	14.9
0.203	15.1
0.198	15.3
0.193	15.6
0.187	15.8
0.182	15.9
0.176	16.1
0.171	16.3
0.166	16.5
0.160	16.7
0.155	16.8
0.150	17.1
0.144	17.1
0.139	17.3
0.134	17.5
0.128	17.8
0.123	18.0
0.118	18.3
0.112	18.3
0.107	18.6
0.102	18.7
0.096	18.9
0.091	19.0
0.086	19.1
0.080	19.2
0.075	19.2
0.070	19.3
0.064	19.3
0.059	19.3
0.053	19.3
0.048	19.3
0.043	19.4
0.037	19.4
0.032	19.4
0.027	19.4
0.021	19.5
0.016	19.6
0.011	19.7
0.005	19.7
0.000	19.9
-0.005	19.8
-0.011	19.7
-0.016	19.6
-0.021	19.6
-0.027	19.3
-0.032	19.1
-0.037	18.7
-0.043	18.2
-0.048	17.8
-0.053	17.3
-0.059	16.9
-0.064	16.6
-0.070	16.6
-0.075	16.6
-0.080	16.8
-0.086	17.0
-0.091	17.0
-0.096	17.0
-0.102	17.0
-0.107	16.8
-0.112	16.7
-0.118	16.6
-0.123	16.4
-0.128	16.2
-0.134	15.9
-0.139	15.8
-0.144	15.5
-0.150	15.2
-0.155	15.0
-0.160	14.7
-0.166	14.4
-0.171	14.2
-0.176	14.1
-0.182	13.9
-0.187	13.7
-0.193	13.7
-0.198	13.5
-0.203	13.5
-0.209	13.4
-0.214	13.2
-0.219	13.1
-0.225	13.0
-0.230	12.8
-0.235	12.7
-0.241	12.5
-0.246	12.3
-0.251	11.9
-0.257	11.8
-0.262	11.5
-0.267	11.1
-0.273	11.0
-0.278	11.0
-0.283	10.9
-0.289	10.9
-0.294	10.9
-0.299	10.9
-0.305	11.0
-0.310	11.0
-0.316	11.1
-0.321	11.1
-0.326	11.2
-0.332	11.2
-0.337	11.3
-0.342	11.6
-0.348	11.5
-0.353	11.5
-0.358	11.5
-0.364	11.5
-0.369	11.4
-0.374	11.4
-0.380	11.4
-0.385	11.5
-0.390	11.5
-0.396	11.7
-0.401	11.8
-0.406	11.9
-0.412	12.1
-0.417	12.5
-0.422	12.7
-0.428	13.0
-0.433	13.3
-0.438	13.6
-0.444	13.9
-0.449	14.3
-0.455	14.6
-0.460	15.0
-0.465	15.4
-0.471	15.8
-0.476	16.0
-0.481	16.4
-0.487	16.8
-0.492	17.1
-0.497	17.5
-0.503	18.1
