&a 	I1
2.635	9.3
2.629	8.8
2.624	8.7
2.619	9.1
2.613	10.3
2.608	13.1
2.602	17.5
2.597	21.7
2.592	24.0
2.586	24.2
2.581	23.5
2.576	23.7
2.570	26.8
2.565	32.0
2.560	35.6
2.554	35.5
2.549	32.6
2.544	29.2
2.538	27.2
2.533	26.8
2.528	27.0
2.522	26.6
2.517	24.7
2.512	21.7
2.506	18.4
2.501	15.4
2.496	13.0
2.490	11.1
2.485	9.9
2.480	9.1
2.474	8.7
2.469	8.7
2.464	9.1
2.458	10.3
2.453	12.8
2.448	16.8
2.442	21.1
2.437	23.9
2.432	24.6
2.426	23.9
2.421	23.5
2.416	25.0
2.410	29.3
2.405	34.1
2.400	36.4
2.394	35.2
2.389	32.1
2.384	28.8
2.378	26.9
2.373	26.4
2.368	26.7
2.362	26.4
2.357	25.1
2.352	22.6
2.346	19.6
2.341	16.6
2.336	14.1
2.330	12.1
2.325	10.6
2.320	9.5
2.314	8.9
2.309	8.8
2.304	8.9
2.298	9.3
2.293	10.5
2.288	12.6
2.282	16.3
2.277	20.6
2.272	23.8
2.266	25.2
2.261	24.8
2.256	22.9
2.250	21.6
2.245	22.4
2.240	26.0
2.234	30.9
2.229	34.8
2.223	34.7
2.218	32.0
2.213	28.8
2.207	26.7
2.202	25.9
2.197	25.9
2.191	25.9
2.186	25.4
2.181	23.8
2.175	21.2
2.170	18.0
2.165	15.2
2.159	12.9
2.154	11.5
2.149	10.4
2.143	9.6
2.138	9.2
2.133	9.1
2.127	9.1
2.122	9.3
2.117	10.0
2.111	11.3
2.106	13.8
2.101	17.4
2.095	21.5
2.090	24.5
2.085	25.6
2.079	25.2
2.074	24.0
2.069	23.5
2.063	24.6
2.058	27.9
2.053	32.4
2.047	36.0
2.042	36.8
2.037	34.9
2.031	31.6
2.026	28.3
2.021	26.0
2.015	25.2
2.010	25.5
2.005	26.0
1.999	26.1
1.994	24.9
1.989	22.9
1.983	20.1
1.978	17.4
1.972	14.8
1.967	12.8
1.962	11.2
1.956	10.1
1.951	9.2
1.946	8.8
1.940	8.4
1.935	8.5
1.930	8.9
1.924	9.4
1.919	10.1
1.914	11.4
1.908	13.7
1.903	16.9
1.898	20.6
1.892	23.7
1.887	25.3
1.882	25.3
1.876	24.4
1.871	23.3
1.866	22.7
1.860	23.7
1.855	26.8
1.850	31.2
1.844	35.2
1.839	36.8
1.834	35.7
1.828	32.6
1.823	29.1
1.818	26.2
1.812	24.7
1.807	24.3
1.802	24.9
1.796	25.7
1.791	26.0
1.786	25.6
1.780	24.2
1.775	21.8
1.769	19.2
1.764	16.5
1.759	14.4
1.753	12.4
1.748	11.2
1.743	10.4
1.737	9.6
1.732	9.2
1.727	9.0
1.721	8.9
1.716	9.0
1.711	9.0
1.705	9.4
1.700	9.8
1.695	10.8
1.689	12.4
1.684	14.9
1.679	18.2
1.673	21.5
1.668	24.1
1.663	25.5
1.657	25.7
1.652	24.8
1.647	23.6
1.641	22.7
1.636	22.7
1.631	24.2
1.625	27.3
1.620	31.5
1.615	35.5
1.609	37.9
1.604	37.7
1.599	35.3
1.593	31.9
1.588	28.5
1.582	25.9
1.577	24.7
1.572	24.4
1.566	25.2
1.561	26.2
1.556	26.8
1.550	26.5
1.545	25.8
1.540	24.2
1.534	22.5
1.529	20.2
1.524	17.7
1.518	15.5
1.513	13.7
1.508	12.1
1.502	11.2
1.497	10.4
1.492	9.9
1.486	9.5
1.481	9.1
1.476	8.8
1.470	8.7
1.465	8.7
1.460	9.1
1.454	9.4
1.449	9.8
1.444	10.3
1.438	11.3
1.433	12.6
1.428	14.7
1.422	17.5
1.417	20.9
1.411	24.1
1.406	26.6
1.401	27.8
1.395	27.8
1.390	26.7
1.385	25.4
1.379	24.1
1.374	23.4
1.369	23.4
1.363	24.6
1.358	27.0
1.353	30.2
1.347	33.8
1.342	37.2
1.337	39.5
1.331	39.7
1.326	38.0
1.321	34.9
1.315	31.3
1.310	28.1
1.305	25.7
1.299	24.5
1.294	24.5
1.289	25.1
1.283	26.0
1.278	27.1
1.273	28.0
1.267	28.6
1.262	28.5
1.256	27.5
1.251	25.6
1.246	23.0
1.240	20.5
1.235	18.2
1.230	16.3
1.224	14.7
1.219	13.4
1.214	12.2
1.208	11.3
1.203	10.7
1.198	10.2
1.192	9.8
1.187	9.4
1.182	9.2
1.176	9.0
1.171	9.0
1.166	9.1
1.160	9.1
1.155	9.1
1.150	9.1
1.144	9.2
1.139	9.6
1.134	10.1
1.128	11.0
1.123	11.9
1.118	12.8
1.112	14.0
1.107	16.0
1.101	18.3
1.096	21.1
1.091	23.8
1.085	26.2
1.080	28.1
1.075	29.2
1.069	29.2
1.064	28.4
1.059	27.2
1.053	25.8
1.048	24.4
1.043	23.2
1.037	22.5
1.032	22.5
1.027	23.3
1.021	25.3
1.016	27.9
1.011	31.1
1.005	34.8
1.000	38.6
0.995	41.6
0.989	43.3
0.984	43.3
0.979	41.7
0.973	39.0
0.968	35.9
0.962	32.8
0.957	30.0
0.952	27.6
0.946	25.4
0.941	23.8
0.936	23.2
0.930	23.3
0.925	24.0
0.920	24.7
0.914	25.5
0.909	25.8
0.904	25.2
0.898	24.3
0.893	23.6
0.888	23.1
0.882	23.0
0.877	23.2
0.872	23.8
0.866	24.1
0.861	23.5
0.856	22.0
0.850	20.4
0.845	18.5
0.840	16.8
0.834	15.2
0.829	14.0
0.823	13.1
0.818	12.3
0.813	11.5
0.807	10.9
0.802	10.5
0.797	10.1
0.791	9.8
0.786	9.6
0.781	9.4
0.775	9.2
0.770	9.1
0.765	9.0
0.759	8.8
0.754	8.7
0.749	8.7
0.743	8.6
0.738	8.6
0.733	8.7
0.727	8.7
0.722	8.8
0.717	8.8
0.711	9.0
0.706	9.1
0.701	9.3
0.695	9.6
0.690	9.9
0.684	10.1
0.679	10.4
0.674	10.8
0.668	11.3
0.663	11.9
0.658	12.7
0.652	13.5
0.647	14.5
0.642	15.5
0.636	16.6
0.631	17.9
0.626	19.6
0.620	21.2
0.615	22.8
0.610	24.3
0.604	25.5
0.599	26.7
0.594	27.8
0.588	28.5
0.583	28.9
0.578	29.0
0.572	28.7
0.567	28.3
0.561	27.9
0.556	27.6
0.551	27.2
0.545	26.5
0.540	25.8
0.535	25.1
0.529	24.5
0.524	23.8
0.519	23.4
0.513	23.0
0.508	22.6
0.503	22.3
0.497	22.3
0.492	22.2
0.487	22.0
0.481	22.1
0.476	22.6
0.471	23.5
0.465	24.5
0.460	25.4
0.455	26.6
0.449	27.7
0.444	29.0
0.438	30.4
0.433	31.7
0.428	33.0
0.422	34.5
0.417	36.0
0.412	37.5
0.406	38.8
0.401	39.9
0.396	40.7
0.390	41.4
0.385	41.7
0.380	41.8
0.374	41.7
0.369	41.4
0.364	40.8
0.358	39.9
0.353	39.0
0.348	38.2
0.342	37.3
0.337	36.6
0.332	35.8
0.326	35.0
0.321	34.1
0.316	33.2
0.310	32.2
