&a / °	I1 / %
-0.438	21.9
-0.444	21.2
-0.449	20.7
-0.455	20.2
-0.460	19.9
-0.465	19.6
-0.471	19.4
-0.476	19.4
-0.481	19.4
-0.487	19.5
-0.492	19.4
-0.497	19.2
-0.503	19.2
-0.508	19.6
-0.513	20.3
-0.519	21.2
-0.524	21.7
-0.529	22.2
-0.535	22.6
-0.540	22.8
-0.545	22.4
-0.551	22.1
-0.556	21.8
-0.561	21.8
-0.567	21.7
-0.572	21.4
-0.578	21.0
-0.583	20.6
-0.588	20.1
-0.594	19.7
-0.599	19.1
-0.604	18.5
-0.610	17.7
-0.615	16.8
-0.620	15.9
-0.626	14.9
-0.631	14.1
-0.636	13.7
-0.642	13.1
-0.647	12.5
-0.652	11.8
-0.658	11.3
-0.663	10.8
-0.668	10.4
-0.674	10.0
-0.679	9.8
-0.684	9.6
-0.690	9.5
-0.695	9.5
-0.701	9.5
-0.706	9.5
-0.711	9.6
-0.717	9.7
-0.722	10.0
-0.727	10.1
-0.733	10.4
-0.738	10.8
-0.743	11.3
-0.749	11.8
-0.754	12.6
-0.759	13.3
-0.765	14.1
-0.770	15.1
-0.775	16.1
-0.781	17.2
-0.786	18.5
-0.791	19.5
-0.797	20.2
-0.802	20.7
-0.807	21.4
-0.813	22.2
-0.818	23.1
-0.823	23.5
-0.829	23.4
-0.834	23.1
-0.840	22.6
-0.845	22.0
-0.850	21.4
-0.856	20.9
-0.861	20.5
-0.866	20.3
-0.872	20.4
-0.877	20.6
-0.882	21.2
-0.888	22.0
-0.893	23.2
-0.898	24.5
-0.904	26.2
-0.909	27.8
-0.914	29.4
-0.920	30.7
-0.925	31.5
-0.930	32.1
-0.936	31.9
-0.941	31.2
-0.946	30.5
-0.952	30.0
-0.957	29.1
-0.962	27.7
-0.968	26.0
-0.973	24.4
-0.979	23.0
-0.984	21.8
-0.989	21.0
-0.995	20.6
-1.000	20.5
-1.005	20.5
-1.011	20.7
-1.016	20.8
-1.021	21.0
-1.027	21.0
-1.032	21.0
-1.037	20.8
-1.043	20.5
-1.048	20.0
-1.053	19.5
-1.059	18.8
-1.064	18.1
-1.069	17.2
-1.075	16.1
-1.080	14.9
-1.085	13.8
-1.091	12.9
-1.096	12.1
-1.101	11.3
-1.107	10.9
-1.112	10.5
-1.118	10.3
-1.123	10.3
-1.128	10.3
-1.134	10.4
-1.139	10.8
-1.144	11.3
-1.150	12.1
-1.155	12.8
-1.160	13.5
-1.166	14.6
-1.171	16.0
-1.176	17.7
-1.182	19.6
-1.187	21.3
-1.192	22.5
-1.198	23.0
-1.203	23.1
-1.208	22.7
-1.214	22.0
-1.219	21.2
-1.224	20.7
-1.230	20.3
-1.235	20.5
-1.240	21.1
-1.246	22.2
-1.251	23.6
-1.256	25.3
-1.262	27.0
-1.267	28.4
-1.273	29.3
-1.278	29.8
-1.283	29.9
-1.289	29.4
-1.294	28.5
-1.299	27.1
-1.305	25.4
-1.310	23.8
-1.315	22.2
-1.321	21.1
-1.326	20.4
-1.331	19.8
-1.337	19.3
-1.342	19.1
-1.347	19.1
-1.353	19.2
-1.358	19.2
-1.363	18.9
-1.369	18.4
-1.374	17.8
-1.379	16.9
-1.385	15.7
-1.390	14.5
-1.395	13.4
-1.401	12.4
-1.406	11.6
-1.411	11.0
-1.417	10.6
-1.422	10.4
-1.428	10.4
-1.433	10.6
-1.438	11.1
-1.444	11.8
-1.449	12.6
-1.454	13.8
-1.460	15.1
-1.465	16.6
-1.470	18.2
-1.476	19.5
-1.481	20.5
-1.486	20.9
-1.492	20.9
-1.497	20.5
-1.502	20.1
-1.508	19.8
-1.513	19.8
-1.518	20.2
-1.524	21.2
-1.529	22.7
-1.534	24.7
-1.540	26.1
-1.545	27.2
-1.550	27.8
-1.556	27.5
-1.561	26.8
-1.566	25.5
-1.572	24.2
-1.577	22.7
-1.582	21.4
-1.588	20.4
-1.593	19.9
-1.599	19.5
-1.604	19.1
-1.609	19.1
-1.615	18.4
-1.620	17.5
-1.625	16.7
-1.631	16.2
-1.636	15.7
-1.641	14.8
-1.647	13.7
-1.652	12.5
-1.657	11.4
-1.663	10.7
-1.668	10.3
-1.673	10.4
-1.679	10.6
-1.684	11.2
-1.689	12.0
-1.695	13.3
-1.700	14.8
-1.705	16.5
-1.711	18.1
-1.716	19.5
-1.721	20.4
-1.727	20.8
-1.732	20.8
-1.737	20.6
-1.743	20.4
-1.748	20.8
-1.753	21.5
-1.759	22.8
-1.764	24.0
-1.769	24.7
-1.775	25.2
-1.780	25.5
-1.786	25.8
-1.791	25.6
-1.796	24.8
-1.802	23.6
-1.807	22.2
-1.812	21.0
-1.818	20.3
-1.823	19.7
-1.828	19.2
-1.834	18.7
-1.839	18.3
-1.844	17.8
-1.850	17.1
-1.855	16.3
-1.860	15.1
-1.866	13.9
-1.871	12.7
-1.876	11.7
-1.882	11.0
-1.887	10.7
-1.892	10.8
-1.898	11.4
-1.903	12.3
-1.908	13.7
-1.914	15.3
-1.919	17.1
-1.924	18.7
-1.930	20.0
-1.935	20.7
-1.940	20.8
-1.946	20.6
-1.951	20.6
-1.956	21.1
-1.962	22.2
-1.967	23.7
-1.972	25.3
-1.978	26.5
-1.983	27.1
-1.989	27.1
-1.994	26.4
-1.999	25.2
-2.005	23.7
-2.010	22.1
-2.015	20.9
-2.021	20.1
-2.026	19.4
-2.031	18.7
-2.037	17.9
-2.042	17.1
-2.047	16.2
-2.053	15.1
-2.058	14.0
-2.063	12.8
-2.069	11.9
-2.074	11.1
-2.079	10.7
-2.085	10.8
-2.090	11.5
-2.095	12.7
-2.101	14.3
-2.106	16.2
-2.111	18.1
-2.117	19.7
-2.122	20.7
-2.127	21.0
-2.133	20.9
-2.138	20.9
-2.143	21.5
-2.149	22.7
-2.154	24.2
-2.159	25.7
-2.165	26.7
-2.170	27.0
-2.175	26.7
-2.181	25.7
-2.186	24.1
-2.191	22.5
-2.197	21.2
-2.202	20.2
-2.207	19.4
-2.213	18.3
-2.218	17.5
-2.223	16.9
-2.229	16.2
-2.234	14.8
-2.240	13.2
-2.245	11.8
-2.250	10.9
-2.256	10.5
-2.261	10.6
-2.266	11.4
-2.272	12.7
-2.277	14.5
-2.282	16.4
-2.288	18.1
-2.293	19.5
-2.298	20.3
-2.304	20.7
-2.309	20.8
-2.314	21.5
-2.320	22.6
-2.325	24.2
-2.330	25.7
-2.336	26.6
-2.341	26.8
-2.346	26.0
-2.352	24.5
-2.357	22.7
-2.362	21.1
-2.368	20.3
-2.373	19.6
-2.378	19.0
-2.384	18.3
-2.389	17.4
-2.394	16.4
-2.400	15.0
-2.405	13.4
-2.410	12.1
-2.416	11.2
-2.421	10.8
-2.426	11.2
-2.432	12.2
-2.437	13.8
-2.442	15.8
-2.448	17.7
-2.453	19.3
-2.458	20.2
-2.464	20.5
-2.469	20.5
-2.474	21.1
-2.480	22.5
-2.485	24.4
-2.490	25.8
-2.496	26.2
-2.501	25.5
-2.506	24.3
-2.512	22.6
-2.517	21.1
-2.522	20.0
-2.528	19.4
-2.533	18.8
-2.538	18.1
-2.544	17.2
-2.549	16.0
-2.554	14.5
-2.560	12.9
-2.565	11.6
-2.570	10.8
-2.576	10.7
-2.581	11.4
-2.586	12.7
-2.592	14.5
-2.597	16.6
-2.602	18.2
-2.608	19.0
-2.613	19.2
-2.619	19.4
-2.624	20.4
-2.629	21.7
-2.635	23.3
-2.640	24.7
-2.645	25.5
-2.651	25.2
-2.656	23.9
-2.661	22.2
-2.667	20.6
-2.672	19.5
-2.677	18.5
-2.683	17.1
-2.688	15.9
-2.693	14.5
-2.699	13.6
-2.704	12.1
-2.709	10.9
-2.715	10.1
-2.720	10.1
-2.725	10.7
-2.731	12.2
-2.736	15.2
-2.741	16.9
-2.747	18.2
-2.752	19.0
-2.757	19.1
-2.763	19.6
-2.768	20.7
-2.773	22.1
-2.779	23.4
-2.784	24.3
-2.789	24.4
-2.795	23.3
-2.800	21.5
-2.805	19.8
-2.811	18.5
-2.816	17.6
-2.821	16.8
-2.827	15.8
-2.832	14.5
-2.837	12.9
-2.843	11.4
-2.848	10.3
-2.853	9.9
-2.859	10.3
-2.864	11.3
-2.869	12.9
-2.875	15.1
-2.880	17.1
-2.885	18.1
-2.891	18.5
-2.896	18.9
-2.901	19.9
-2.907	21.4
-2.912	22.8
-2.917	23.4
-2.923	23.0
-2.928	21.9
